TestID,TestType,Paused,WebsiteName,WebsiteURL,ContactGroup,CheckRate,Timeout,UseJar,WebsiteHost,PostBody,PostRaw,CustomHeader,SiteIP,DNSIP,DNSServer,BasicUser,StatusCodes,NodeLocations,FindString,IncludeHeader,DoNotFind,Port,TriggerRate,Confirmation,UserAgent,EnableSSLWarning,FullTest,CustomMessage,SubjectLine,SenderAddress,FollowRedirect,FinalEndpoint
5407064,HTTP,0,project-management.com/top-10-project-management-software/,https://project-management.com/top-10-project-management-software/,172748,300,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,1,2,,0,0,,,,1,
5410883,HTTP,0,webopedia.com,webopedia.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410884,HTTP,0,esecurityplanet.com,esecurityplanet.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410885,HTTP,0,datamation.com,datamation.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410886,HTTP,0,enterprisestorageforum.com,enterprisestorageforum.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410887,HTTP,0,eweek.com,eweek.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410888,HTTP,0,itbusinessedge.com,itbusinessedge.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410889,HTTP,0,serverwatch.com,serverwatch.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410890,HTTP,0,enterprisenetworkingplanet.com,enterprisenetworkingplanet.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410891,HTTP,0,enterpriseappstoday.com,enterpriseappstoday.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410892,HTTP,0,smallbusinesscomputing.com,smallbusinesscomputing.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410893,HTTP,0,codeguru.com,codeguru.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410894,HTTP,0,htmlgoodies.com,htmlgoodies.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410895,HTTP,0,devx.com,devx.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410896,HTTP,0,developer.com,developer.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410897,HTTP,0,databasejournal.com,databasejournal.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410898,HTTP,0,vbforums.com,vbforums.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410899,HTTP,0,linuxtoday.com,linuxtoday.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410900,HTTP,0,flashkit.com,flashkit.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410901,HTTP,0,sqlcourse.com,sqlcourse.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410902,HTTP,0,sqlcourse2.com,sqlcourse2.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410903,HTTP,0,baselinemag.com,baselinemag.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
5410904,HTTP,0,cioinsight.com,cioinsight.com,172748,60,15,0,,,,,,,,,"204,205,206,303,400,401,403,404,405,406,408,410,413,444,429,494,495,496,499,500,501,502,503,504,505,506,507,508,509,510,511,521,522,523,524,520,598,599",,,0,0,0,2,2,,0,0,,,,1,
