"softwarepundit.com","already exists in StatusCake","softwarepundit.com"
"crm-software-application.com","already exists in StatusCake","project-management.com/top-5-crm-management-software","200"
"careersinhouston.com","already exists in StatusCake","project-management.com/houston-project-management-jobs-careers-for-project-managers","200"
"famundo.com","already exists in StatusCake","project-management.com/calendar-software","200"
"pmhut.com","already exists in StatusCake","pmhut.com"
"curioso.org","already exists in StatusCake","project-management.com/top-10-mac-project-management-tools","200"
"dabbledb.com","already exists in StatusCake","project-management.com/top-10-database-application-builders-for-creating-your-own-pm-tool","200"
"inventiondb.com","already exists in StatusCake","project-management.com","200"
"project-management-center.com","already exists in StatusCake","project-management.com","200"
"isolsoft.com","do not put in StatusCake","error","error","HTTPConnectionPool(host='isolsoft.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f77a790>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
"pm-sherpa.com","already exists in StatusCake","project-management.com/basecamp-alternatives-pros-and-cons","200"
"pm411.org","already exists in StatusCake","project-management.com/top-5-project-management-podcast-sites","200"
"project-management-software.com","already exists in StatusCake","project-management.com","200"
"project-management-software.org","already exists in StatusCake","project-management.com","200"
"project-management.com","already exists in StatusCake","project-management.com"
"project-management.org","already exists in StatusCake","project-management.com","200"
"project-management-tools.net","already exists in StatusCake","project-management.com/task-management-software","200"
"projectmgt.com","already exists in StatusCake","project-management.com/top-5-project-management-training-sites","200"
"theinternationalpm.com","already exists in StatusCake","project-management.com/top-5-pm-software-with-dynamic-gantt-charts","200"
"whybasecampsux.org","already exists in StatusCake","project-management.com/basecamp-alternatives-pros-and-cons","200"
"schemequest.com","already exists in StatusCake","project-management.com/basecamp-alternatives-pros-and-cons","200"
"ravensbrain.com","already exists in StatusCake","project-management.com/top-10-main-causes-of-project-failure","200"
"projectmagazine.com","already exists in StatusCake","project-management.com","200"
"skrubcrm.com","already exists in StatusCake","project-management.com/top-5-crm-management-software","200"
"tuggo.org","already exists in StatusCake","project-management.com/basecamp-alternatives-pros-and-cons","200"
"web-based-software.com","already exists in StatusCake","project-management.com","200"
