"softwarepundit.com","https://www.softwarepundit.com/","200","OK"
"www.softwarepundit.com","https://www.softwarepundit.com/","200","OK"
"crm-software-application.com","https://project-management.com/top-5-crm-management-software/","200","OK"
"careersinhouston.com","https://project-management.com/houston-project-management-jobs-careers-for-project-managers/","200","OK"
"famundo.com","https://project-management.com/calendar-software/","200","OK"
"pmhut.com","https://pmhut.com/","200","OK"
"curioso.org","https://project-management.com/top-10-mac-project-management-tools/","200","OK"
"dabbledb.com","https://project-management.com/top-10-database-application-builders-for-creating-your-own-pm-tool/","200","OK"
"pm-sherpa.com","https://project-management.com/basecamp-alternatives-pros-and-cons/","200","OK"
"pm411.org","https://project-management.com/top-5-project-management-podcast-sites/","200","OK"
"app.project-management.com","https://www.knack.com/request-custom-domain?domain=not_found","200","OK"
"test.project-management.com","https://test.project-management.com/","200","OK"
"project-management-tools.net","https://project-management.com/task-management-software/","200","OK"
"projectmgt.com","https://project-management.com/top-5-project-management-training-sites/","200","OK"
"theinternationalpm.com","https://project-management.com/top-5-pm-software-with-dynamic-gantt-charts/","200","OK"
"whybasecampsux.org","https://project-management.com/basecamp-alternatives-pros-and-cons/","200","OK"
"schemequest.com","https://project-management.com/basecamp-alternatives-pros-and-cons/","200","OK"
"ravensbrain.com","https://project-management.com/top-10-main-causes-of-project-failure/","200","OK"
"skrubcrm.com","https://project-management.com/top-5-crm-management-software/","200","OK"
"tuggo.org","https://project-management.com/basecamp-alternatives-pros-and-cons/","200","OK"
"relay.cool","https://relay.cool/","200","OK"
"concourse.relay.cool","https://concourse.relay.cool/","200","OK"
"dev.relay.cool","https://dev.relay.cool/","200","OK"
